AsOfDate,SecurityId,Description,Sector,Subsector,Currency
2025-01-01,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-01,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-01,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-01,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-01,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Financing,USD
2025-01-01,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-01,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-02,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-02,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-02,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-02,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-02,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-02,LGP30YU,Home Risk Bond LGP30YU,Residential,Risk,USD
2025-01-02,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-02,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-02,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-02,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-02,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-02,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-02,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-02,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-02,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-02,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-02,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-02,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-02,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-02,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-02,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-02,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-02,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-02,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-02,ZJK76DR,Government IO Bond ZJK76DR,Agency,IO,USD
2025-01-02,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-02,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-02,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-02,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-02,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-02,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-02,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-02,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-02,WTS85NW,Government IO Backed WTS85NW,Agency,IO,USD
2025-01-02,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-02,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-02,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-02,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-02,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-02,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-02,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-02,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-02,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-02,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-02,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-02,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-02,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-02,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Financing,USD
2025-01-02,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-02,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-03,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-03,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-03,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-03,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-03,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-03,LGP30YU,Home Risk Bond LGP30YU,Residential,Risk,USD
2025-01-03,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-03,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-03,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-03,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-03,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-03,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-03,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-03,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-03,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-03,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-03,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-03,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-03,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-03,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-03,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-03,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-03,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-03,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-03,ZJK76DR,Government IO Bond ZJK76DR,Agency,IO,USD
2025-01-03,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-03,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-03,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-03,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-03,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-03,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-03,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-03,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-03,WTS85NW,Government IO Backed WTS85NW,Agency,IO,USD
2025-01-03,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-03,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-03,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-03,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-03,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-03,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-03,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-03,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-03,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-03,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-03,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-03,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-03,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-03,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Financing,USD
2025-01-03,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-03,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-04,WJB41XV,Agency Subs Bond WJB41XV,Agency,IO,USD
2025-01-04,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-04,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-04,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-04,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-04,LGP30YU,Home Risk Bond LGP30YU,Residential,Risk,USD
2025-01-04,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-04,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-04,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-04,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-04,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-04,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-04,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-04,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-04,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-04,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-04,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-04,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-04,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-04,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-04,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-04,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-04,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-04,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-04,ZJK76DR,Government IO Bond ZJK76DR,Agency,IO,USD
2025-01-04,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-04,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-04,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-04,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-04,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-04,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-04,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-04,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-04,WTS85NW,Government IO Backed WTS85NW,Agency,IO,USD
2025-01-04,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-04,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-04,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-04,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-04,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-04,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-04,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-04,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-04,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-04,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-04,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-04,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-04,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-04,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-04,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-04,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-05,WJB41XV,Agency Subs Bond WJB41XV,Agency,IO,USD
2025-01-05,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-05,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-05,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-05,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-05,LGP30YU,Home Risk Bond LGP30YU,Residential,Risk,USD
2025-01-05,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-05,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-05,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-05,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-05,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-05,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-05,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-05,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-05,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-05,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-05,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-05,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-05,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-05,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-05,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-05,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-05,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-05,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-05,ZJK76DR,Government IO Bond ZJK76DR,Agency,IO,USD
2025-01-05,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-05,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-05,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-05,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-05,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-05,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-05,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-05,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-05,WTS85NW,Government IO Backed WTS85NW,Agency,IO,USD
2025-01-05,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-05,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-05,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-05,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-05,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-05,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-05,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-05,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-05,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-05,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-05,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-05,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-05,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-05,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-05,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-05,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-06,WJB41XV,Agency Subs Bond WJB41XV,Agency,IO,USD
2025-01-06,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-06,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-06,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-06,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-06,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-06,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-06,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-06,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-06,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-06,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-06,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-06,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-06,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-06,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-06,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-06,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-06,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-06,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-06,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-06,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-06,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-06,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-06,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-06,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-06,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-06,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-06,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-06,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-06,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-06,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-06,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-06,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-06,WTS85NW,Government IO Backed WTS85NW,Agency,Subs,USD
2025-01-06,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-06,HGH26BI,Office CRE Investment HGH26BI,Commercial,SASB,USD
2025-01-06,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-06,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-06,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-06,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-06,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-06,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-06,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
2025-01-06,GTR84BF,Retail SASB Trust GTR84BF,Commercial,SASB,USD
2025-01-06,BMV57TF,Government Subs Backed BMV57TF,Agency,Subs,USD
2025-01-06,BBQ17KZ,Retail CMBS Property BBQ17KZ,Commercial,CMBS,USD
2025-01-06,GTI99LO,Mortgage Financing Bond GTI99LO,Residential,Financing,USD
2025-01-06,FXK38HS,Mortgage Financing Trust FXK38HS,Residential,Carry,USD
2025-01-06,KGP30NU,Residential Financing Trust KGP30NU,Residential,Financing,USD
2025-01-06,AEO16UL,Government IO Bond AEO16UL,Agency,Subs,USD
2025-01-07,WJB41XV,Agency Subs Bond WJB41XV,Agency,IO,USD
2025-01-07,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-07,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-07,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-07,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-07,LGP30YU,Home Risk Bond LGP30YU,Residential,Carry,USD
2025-01-07,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-07,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-07,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-07,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-07,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-07,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-07,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-07,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-07,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-07,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-07,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Financing,USD
2025-01-07,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-07,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-07,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-07,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-07,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-07,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-07,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-07,ZJK76DR,Government IO Bond ZJK76DR,Agency,Subs,USD
2025-01-07,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-07,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-07,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-07,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-07,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-07,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-07,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
